Transaction_ID,Customer_ID,Monthly_Expenditure,Income_Level,Spending_Category,Saving_Behavior,Credit_Score,Loan_Status,Loan_Amount,Customer_Feedback,Complaint_Type,Transaction_Channel,Location,Time_Of_Day
1,25725,166861.84,Upper-Middle,Savings Deposit,Average,583,No Loan,196000.5,Charges are confusing and unclear,None,USSD,Ibadan,Morning
2,38030,172469.3,Middle,Health,Poor,430,No Loan,0,Loan process takes too long,Loan Issue,Web,Ibadan,Night
3,27730,77825.45,Middle,Rent,Poor,682,No Loan,2911313.98,Loan process takes too long,Technical Issue,Web,Port Harcourt,Morning
4,71404,130268.89,Low,Education,Good,689,No Loan,0,Payment failed multiple times,Technical Issue,USSD,Ibadan,Evening
5,73206,202452.1,Middle,Education,Good,594,No Loan,0,The service is excellent,Charges Issue,Mobile App,Lagos,Afternoon
6,25377,204028.12,Low,Rent,Poor,678,Default Risk,3788373.14,Loan process takes too long,Charges Issue,USSD,Abuja,Afternoon
7,83299,74501.67,Lower-Middle,Health,Poor,552,Active Loan,3175006.9,Payment failed multiple times,General Feedback,Web,Lagos,Afternoon
8,56203,215751.29,Lower-Middle,Utilities,Average,596,No Loan,0,I need better support,Technical Issue,USSD,Port Harcourt,Evening
9,99302,132858.16,Low,Utilities,Average,618,Active Loan,4651129.81,Loan process takes too long,General Feedback,USSD,Kano,Afternoon
10,32241,148397.68,Upper-Middle,Education,Average,578,No Loan,0,I don't understand my loan deductions,General Feedback,Mobile App,Kaduna,Evening
11,75632,140220.96,Upper-Middle,Health,Average,622,No Loan,895143.08,Overall experience is great,General Feedback,POS,Ibadan,Evening
12,65409,23177.68,Low,Entertainment,Poor,582,Active Loan,0,Customer service is slow to respond,Loan Issue,POS,Lagos,Evening
13,33166,175264.41,Lower-Middle,Health,Poor,535,No Loan,4614821.97,The service is excellent,None,Mobile App,Lagos,Evening
14,81200,53481.2,Upper-Middle,Health,Good,552,Active Loan,0,The service is excellent,None,POS,Enugu,Night
15,43710,199804.58,Lower-Middle,Utilities,Good,676,No Loan,0,App keeps crashing during payments,General Feedback,USSD,Ibadan,Night
16,75647,71874.13,Upper-Middle,Rent,Poor,535,Active Loan,0,I don't understand my loan deductions,General Feedback,Web,Kano,Morning
17,27747,213610.42,Low,Utilities,Average,629,Default Risk,0,I need better support,None,POS,Kaduna,Evening
18,45662,163864.69,Low,Entertainment,Good,849,No Loan,0,Transaction was fast and smooth,Charges Issue,POS,Kaduna,Morning
19,78861,186503.36,Low,Entertainment,Poor,589,No Loan,0,Overall experience is great,Technical Issue,USSD,Kano,Night
20,24944,106979.63,Low,Entertainment,Poor,493,No Loan,0,Customer service is slow to respond,General Feedback,USSD,Lagos,Night
21,93012,41461.23,Low,Savings Deposit,Average,478,No Loan,0,Payment failed multiple times,None,USSD,Kaduna,Morning
22,83521,91140.5,Low,Transport,Average,548,Active Loan,0,Charges are confusing and unclear,Technical Issue,Mobile App,Enugu,Night
23,55507,169250.01,Upper-Middle,Utilities,Average,640,No Loan,1812800.24,Payment failed multiple times,General Feedback,POS,Kaduna,Night
24,36626,177406.52,High,Utilities,Poor,521,No Loan,3000976.77,The interface is confusing,None,Web,Kano,Morning
25,82020,98364.45,Low,Health,Average,515,No Loan,0,App keeps crashing during payments,Loan Issue,USSD,Ibadan,Afternoon
26,93266,229523.28,Low,Health,Average,554,Active Loan,4621700.7,Payment failed multiple times,Loan Issue,Web,Kaduna,Morning
27,40255,148857.72,Middle,Rent,Average,535,Active Loan,0,App keeps crashing during payments,None,USSD,Kaduna,Afternoon
28,16648,51577.61,Lower-Middle,Savings Deposit,Average,488,No Loan,695636.42,Customer service is slow to respond,None,Mobile App,Kaduna,Evening
29,97997,166156.07,Middle,Utilities,Good,576,No Loan,0,Loan process takes too long,Charges Issue,USSD,Kaduna,Evening
30,33728,103634.74,Low,Groceries,Average,684,No Loan,0,Loan process takes too long,Technical Issue,Web,Ibadan,Morning
31,93079,199329.3,Lower-Middle,Groceries,Poor,520,Active Loan,0,Customer service is slow to respond,Technical Issue,Web,Abuja,Morning
32,14195,163497.21,Low,Health,Poor,705,No Loan,4323346.06,I need better support,Technical Issue,Web,Ibadan,Evening
33,12428,159029.39,Upper-Middle,Utilities,,604,Active Loan,1306994.3,Overall experience is great,Charges Issue,USSD,Abuja,Morning
34,18028,132668.77,Upper-Middle,Entertainment,,605,Active Loan,0,Customer service is slow to respond,None,POS,Enugu,Night
35,13252,217393.97,Lower-Middle,Entertainment,Average,647,Active Loan,0,Very satisfied with the platform,None,USSD,Kano,Morning
36,27766,95465.42,Low,Utilities,Average,669,No Loan,0,Overall experience is great,None,Mobile App,Kaduna,Night
37,21894,170177.15,Middle,Groceries,Good,589,Active Loan,3544035.53,Charges are confusing and unclear,None,USSD,Kaduna,Morning
38,77874,152516.89,Low,Health,Good,694,No Loan,4537399.91,Overall experience is great,General Feedback,POS,Kaduna,Morning
39,65265,87993.74,Low,Groceries,Average,657,No Loan,0,Loan process takes too long,Technical Issue,Web,Kano,Afternoon
40,92508,145479.91,Low,Utilities,Poor,558,Active Loan,0,I need better support,None,Mobile App,Enugu,Afternoon
41,30355,93228.06,Middle,Rent,Average,661,No Loan,1353809.08,Customer service is slow to respond,General Feedback,POS,Kano,Night
42,22394,272425.92,Lower-Middle,Entertainment,Average,700,Active Loan,0,The service is excellent,None,USSD,Kano,Afternoon
43,78160,210955.02,Lower-Middle,Utilities,Average,604,No Loan,530172.29,Payment failed multiple times,None,USSD,Port Harcourt,Morning
