Transaction_ID,Customer_ID,Monthly_Expenditure,Income_Level,Spending_Category,Saving_Behavior,Credit_Score,Loan_Status,Loan_Amount,Customer_Feedback,Complaint_Type,Transaction_Channel,Location,Time_Of_Day,sentiment_score,sentiment_label,dominant_topic,topic_name,Income_encoded,Saving_encoded,Loan_encoded,Time_encoded,Channel_encoded,cluster_kmeans,cluster_dbscan,cluster_hierarchical,cluster_gmm,cluster_final,cluster_name
1,25725,166861.84,Upper-Middle,Savings Deposit,Average,583.0,No Loan,196000.5,Charges are confusing and unclear,No_Complaint,USSD,Ibadan,Morning,-0.6124,Negative,3,General_Feedback,3,1,0,2,2,2,-1,2,1,2,Digital-First
2,38030,172469.3,Middle,Health,Poor,430.0,No Loan,0.0,Loan process takes too long,Loan Issue,Web,Ibadan,Night,0.0,Neutral,0,Technical_Issues,2,0,0,3,3,0,-1,1,1,1,Digital-First
3,27730,77825.45,Middle,Rent,Poor,682.0,No Loan,2911313.98,Loan process takes too long,Technical Issue,Web,Port Harcourt,Morning,0.0,Neutral,0,Technical_Issues,2,0,0,2,3,3,-1,0,2,0,Segment 0
4,71404,130268.89,Low,Education,Good,689.0,No Loan,0.0,Payment failed multiple times,Technical Issue,USSD,Ibadan,Evening,-0.5106,Negative,1,Loan_Concerns,0,2,0,1,2,3,-1,0,1,0,Segment 0
5,73206,202452.1,Middle,Education,Good,594.0,No Loan,0.0,The service is excellent,Charges Issue,Mobile App,Lagos,Afternoon,0.5719,Positive,3,General_Feedback,2,2,0,0,0,1,-1,0,2,0,Segment 0
6,25377,204028.12,Low,Rent,Poor,678.0,Default Risk,3788373.14,Loan process takes too long,Charges Issue,USSD,Abuja,Afternoon,0.0,Neutral,0,Technical_Issues,0,0,2,0,2,1,-1,0,2,0,Segment 0
7,83299,74501.67,Lower-Middle,Health,Poor,552.0,Active Loan,3175006.9,Payment failed multiple times,General Feedback,Web,Lagos,Afternoon,-0.5106,Negative,1,Loan_Concerns,1,0,1,0,3,1,-1,0,2,0,Segment 0
8,56203,215751.29,Lower-Middle,Utilities,Average,596.0,No Loan,0.0,I need better support,Technical Issue,USSD,Port Harcourt,Evening,0.6808,Positive,2,Charges_Complaints,1,1,0,1,2,3,-1,0,1,0,Segment 0
9,99302,132858.16,Low,Utilities,Average,618.0,Active Loan,4651129.81,Loan process takes too long,General Feedback,USSD,Kano,Afternoon,0.0,Neutral,0,Technical_Issues,0,1,1,0,2,1,-1,0,1,0,Segment 0
10,32241,148397.68,Upper-Middle,Education,Average,578.0,No Loan,0.0,I don't understand my loan deductions,General Feedback,Mobile App,Kaduna,Evening,0.0,Neutral,1,Loan_Concerns,3,1,0,1,0,1,0,0,1,0,Segment 0
11,75632,140220.96,Upper-Middle,Health,Average,622.0,No Loan,895143.08,Overall experience is great,General Feedback,POS,Ibadan,Evening,0.6249,Positive,2,Charges_Complaints,3,1,0,1,1,1,-1,0,1,0,Segment 0
12,65409,23177.68,Low,Entertainment,Poor,582.0,Active Loan,0.0,Customer service is slow to respond,Loan Issue,POS,Lagos,Evening,0.0,Neutral,3,General_Feedback,0,0,1,1,1,0,-1,1,3,1,Digital-First
13,33166,175264.41,Lower-Middle,Health,Poor,535.0,No Loan,4614821.97,The service is excellent,No_Complaint,Mobile App,Lagos,Evening,0.5719,Positive,3,General_Feedback,1,0,0,1,0,1,-1,0,2,0,Segment 0
14,81200,53481.2,Upper-Middle,Health,Good,552.0,Active Loan,0.0,The service is excellent,No_Complaint,POS,Enugu,Night,0.5719,Positive,3,General_Feedback,3,2,1,3,1,1,-1,0,2,0,Segment 0
15,43710,199804.58,Lower-Middle,Utilities,Good,676.0,No Loan,0.0,App keeps crashing during payments,General Feedback,USSD,Ibadan,Night,0.0,Neutral,2,Charges_Complaints,1,2,0,3,2,1,1,0,1,0,Segment 0
16,75647,71874.13,Upper-Middle,Rent,Poor,535.0,Active Loan,0.0,I don't understand my loan deductions,General Feedback,Web,Kano,Morning,0.0,Neutral,1,Loan_Concerns,3,0,1,2,3,1,-1,0,2,0,Segment 0
17,27747,213610.42,Low,Utilities,Average,629.0,Default Risk,0.0,I need better support,No_Complaint,POS,Kaduna,Evening,0.6808,Positive,2,Charges_Complaints,0,1,2,1,1,1,-1,0,1,0,Segment 0
18,45662,163864.69,Low,Entertainment,Good,849.0,No Loan,0.0,Transaction was fast and smooth,Charges Issue,POS,Kaduna,Morning,0.0,Neutral,1,Loan_Concerns,0,2,0,2,1,3,-1,0,3,0,Segment 0
19,78861,186503.36,Low,Entertainment,Poor,589.0,No Loan,0.0,Overall experience is great,Technical Issue,USSD,Kano,Night,0.6249,Positive,2,Charges_Complaints,0,0,0,3,2,3,-1,0,3,0,Segment 0
20,24944,106979.63,Low,Entertainment,Poor,493.0,No Loan,0.0,Customer service is slow to respond,General Feedback,USSD,Lagos,Night,0.0,Neutral,3,General_Feedback,0,0,0,3,2,3,-1,0,3,0,Segment 0
21,93012,41461.23,Low,Savings Deposit,Average,478.0,No Loan,0.0,Payment failed multiple times,No_Complaint,USSD,Kaduna,Morning,-0.5106,Negative,1,Loan_Concerns,0,1,0,2,2,2,-1,2,1,2,Digital-First
22,83521,91140.5,Low,Transport,Average,548.0,Active Loan,0.0,Charges are confusing and unclear,Technical Issue,Mobile App,Enugu,Night,-0.6124,Negative,3,General_Feedback,0,1,1,3,0,3,-1,0,0,0,Segment 0
23,55507,169250.01,Upper-Middle,Utilities,Average,640.0,No Loan,1812800.24,Payment failed multiple times,General Feedback,POS,Kaduna,Night,-0.5106,Negative,1,Loan_Concerns,3,1,0,3,1,1,-1,0,1,0,Segment 0
24,36626,177406.52,High,Utilities,Poor,521.0,No Loan,3000976.77,The interface is confusing,No_Complaint,Web,Kano,Morning,-0.2263,Negative,3,General_Feedback,4,0,0,2,3,1,-1,0,1,0,Segment 0
25,82020,98364.45,Low,Health,Average,515.0,No Loan,0.0,App keeps crashing during payments,Loan Issue,USSD,Ibadan,Afternoon,0.0,Neutral,2,Charges_Complaints,0,1,0,0,2,0,-1,1,1,1,Digital-First
26,93266,229523.28,Low,Health,Average,554.0,Active Loan,4621700.7,Payment failed multiple times,Loan Issue,Web,Kaduna,Morning,-0.5106,Negative,1,Loan_Concerns,0,1,1,2,3,0,-1,1,1,1,Digital-First
27,40255,148857.72,Middle,Rent,Average,535.0,Active Loan,0.0,App keeps crashing during payments,No_Complaint,USSD,Kaduna,Afternoon,0.0,Neutral,2,Charges_Complaints,2,1,1,0,2,1,12,0,2,0,Segment 0
28,16648,51577.61,Lower-Middle,Savings Deposit,Average,488.0,No Loan,695636.42,Customer service is slow to respond,No_Complaint,Mobile App,Kaduna,Evening,0.0,Neutral,3,General_Feedback,1,1,0,1,0,2,-1,2,1,2,Digital-First
